side,feature,target,abs_corr,non_null_rows,selected
OVER,under_open_implied_probability,target_close_delta_for_side,0.1749287882159261,2769,True
OVER,over_open_implied_probability,target_close_delta_for_side,0.16899306841943246,2769,True
OVER,open_vig,target_close_delta_for_side,0.0760037619269013,2769,True
OVER,abs_model_minus_open,target_close_delta_for_side,0.06982256198095123,2769,True
OVER,model_minus_open,target_close_delta_for_side,0.06982256198095123,2769,True
OVER,opening_total,target_close_delta_for_side,0.05192940867968728,2769,True
OVER,opening_total_bucket,target_close_delta_for_side,0.05192940867968728,2769,True
OVER,home_sp_xFIP,target_close_delta_for_side,0.04376055317307278,2769,True
OVER,away_starter_recent_form_index,target_close_delta_for_side,0.04343631701626678,2769,True
OVER,home_sp_kbb,target_close_delta_for_side,0.038309719228408305,2769,True
OVER,starter_xFIP_diff,target_close_delta_for_side,0.03100129166142674,2769,True
OVER,starter_kbb_diff,target_close_delta_for_side,0.021333785787130823,2769,True
OVER,team_offense_form_diff_l7,target_close_delta_for_side,0.020077519328524186,2769,True
OVER,team_offense_form_diff_l14,target_close_delta_for_side,0.019800675081708106,2769,True
OVER,home_starter_recent_form_index,target_close_delta_for_side,0.018430114989074996,2769,True
OVER,bullpen_fatigue_diff,target_close_delta_for_side,0.017002290514355527,2769,True
OVER,starter_recent_form_diff,target_close_delta_for_side,0.016611701013325753,2769,True
OVER,away_game_total_l7,target_close_delta_for_side,0.01660882151644474,2769,True
OVER,bullpen_fatigue_index,target_close_delta_for_side,0.015069939843511565,2769,True
OVER,away_bullpen_fatigue_rate_l3d,target_close_delta_for_side,0.013702853446249557,2769,True
OVER,home_wRC_plus_vs_hand,target_close_delta_for_side,0.012051704115203442,2769,False
OVER,home_bullpen_ip_proxy_l3d,target_close_delta_for_side,0.011306300889920698,2769,False
OVER,offense_wRC_plus_diff,target_close_delta_for_side,0.009902294681603635,2769,False
OVER,combined_barrel_rate,target_close_delta_for_side,0.00851110987561466,2769,False
OVER,away_sp_kbb,target_close_delta_for_side,0.008372889818667425,2769,False
OVER,home_bullpen_fatigue_rate_l3d,target_close_delta_for_side,0.008084799801493701,2769,False
OVER,team_offense_form_diff_l30,target_close_delta_for_side,0.0063936878265353865,2769,False
OVER,model_total,target_close_delta_for_side,0.004265130529994028,2769,False
OVER,away_bullpen_ip_proxy_l3d,target_close_delta_for_side,0.003682074943128222,2769,False
OVER,away_wRC_plus_vs_hand,target_close_delta_for_side,0.002128990423008186,2769,False
OVER,home_game_total_l7,target_close_delta_for_side,0.0020565588557799955,2769,False
OVER,bullpen_xFIP_diff,target_close_delta_for_side,0.001683284786851708,2769,False
OVER,park_run_factor,target_close_delta_for_side,0.0014270884497011695,2769,False
OVER,away_sp_xFIP,target_close_delta_for_side,0.0002952934878304802,2769,False
OVER,away_bullpen_ip_proxy_l1d,target_close_delta_for_side,0.0,2769,False
OVER,home_bullpen_ip_proxy_l1d,target_close_delta_for_side,0.0,2769,False
OVER,humidity_pct,target_close_delta_for_side,0.0,0,False
OVER,temperature_f,target_close_delta_for_side,0.0,0,False
OVER,weather_run_index,target_close_delta_for_side,0.0,2769,False
OVER,wind_mph,target_close_delta_for_side,0.0,0,False
UNDER,under_open_implied_probability,target_close_delta_for_side,0.26025328797877795,413,True
UNDER,over_open_implied_probability,target_close_delta_for_side,0.2428248055494247,413,True
UNDER,open_vig,target_close_delta_for_side,0.11163312843211848,413,True
UNDER,home_bullpen_fatigue_rate_l3d,target_close_delta_for_side,0.09898397191821323,413,True
UNDER,bullpen_fatigue_index,target_close_delta_for_side,0.08824840559435716,413,True
UNDER,opening_total,target_close_delta_for_side,0.07129727982077182,413,True
UNDER,opening_total_bucket,target_close_delta_for_side,0.07129727982077182,413,True
UNDER,away_starter_recent_form_index,target_close_delta_for_side,0.06435046741188416,413,True
UNDER,home_wRC_plus_vs_hand,target_close_delta_for_side,0.0605787884143732,413,True
UNDER,home_bullpen_ip_proxy_l3d,target_close_delta_for_side,0.05717905702339235,413,True
