side,feature,target,abs_corr,non_null_rows,selected
OVER,over_open_implied_probability,target_close_delta_for_side,0.19475997066439946,3820,True
OVER,under_open_implied_probability,target_close_delta_for_side,0.1917984232559082,3820,True
OVER,abs_model_minus_open,target_close_delta_for_side,0.1264186223805156,3820,True
OVER,model_minus_open,target_close_delta_for_side,0.1264186223805156,3820,True
OVER,opening_total,target_close_delta_for_side,0.07360132806489804,3820,True
OVER,opening_total_bucket,target_close_delta_for_side,0.07360132806489804,3820,True
OVER,away_game_total_l7,target_close_delta_for_side,0.044672657671479085,3820,True
OVER,home_sp_xFIP,target_close_delta_for_side,0.04223202251194659,3820,True
OVER,away_starter_recent_form_index,target_close_delta_for_side,0.037306471057235786,3820,True
OVER,home_sp_kbb,target_close_delta_for_side,0.0329813571198767,3820,True
OVER,away_sp_kbb,target_close_delta_for_side,0.027951122278262023,3820,True
OVER,home_starter_recent_form_index,target_close_delta_for_side,0.027794476324823018,3820,True
OVER,away_sp_xFIP,target_close_delta_for_side,0.02595326140507,3820,True
OVER,bullpen_fatigue_diff,target_close_delta_for_side,0.02529781208820146,3820,True
OVER,combined_barrel_rate,target_close_delta_for_side,0.02488723739152344,3820,True
OVER,home_game_total_l7,target_close_delta_for_side,0.024001229089117615,3820,True
OVER,open_vig,target_close_delta_for_side,0.02155877473969994,3820,True
OVER,away_bullpen_fatigue_rate_l3d,target_close_delta_for_side,0.01926979924795385,3820,True
OVER,home_wRC_plus_vs_hand,target_close_delta_for_side,0.018352212545682634,3820,True
OVER,bullpen_xFIP_diff,target_close_delta_for_side,0.01591504919184532,3820,True
OVER,away_wRC_plus_vs_hand,target_close_delta_for_side,0.014987884429891638,3820,False
OVER,home_bullpen_fatigue_rate_l3d,target_close_delta_for_side,0.013477550807327566,3820,False
OVER,away_bullpen_ip_proxy_l3d,target_close_delta_for_side,0.012530384960594375,3820,False
OVER,model_total,target_close_delta_for_side,0.01192719155742579,3820,False
OVER,starter_xFIP_diff,target_close_delta_for_side,0.011375569096098707,3820,False
OVER,team_offense_form_diff_l30,target_close_delta_for_side,0.008093372919909459,3820,False
OVER,bullpen_fatigue_index,target_close_delta_for_side,0.006444352800402226,3820,False
OVER,starter_recent_form_diff,target_close_delta_for_side,0.006319341734415408,3820,False
OVER,home_bullpen_ip_proxy_l3d,target_close_delta_for_side,0.0061596585637207464,3820,False
OVER,team_offense_form_diff_l7,target_close_delta_for_side,0.006143590365953326,3820,False
OVER,starter_kbb_diff,target_close_delta_for_side,0.0034241940712595263,3820,False
OVER,team_offense_form_diff_l14,target_close_delta_for_side,0.0027235376127804378,3820,False
OVER,park_run_factor,target_close_delta_for_side,0.0019978044425181074,3820,False
OVER,offense_wRC_plus_diff,target_close_delta_for_side,0.0018739213718509085,3820,False
OVER,away_bullpen_ip_proxy_l1d,target_close_delta_for_side,0.0,3820,False
OVER,home_bullpen_ip_proxy_l1d,target_close_delta_for_side,0.0,3820,False
OVER,humidity_pct,target_close_delta_for_side,0.0,0,False
OVER,temperature_f,target_close_delta_for_side,0.0,0,False
OVER,weather_run_index,target_close_delta_for_side,0.0,3820,False
OVER,wind_mph,target_close_delta_for_side,0.0,0,False
UNDER,under_open_implied_probability,target_close_delta_for_side,0.23537398790790098,467,True
UNDER,over_open_implied_probability,target_close_delta_for_side,0.21756946022223722,467,True
UNDER,open_vig,target_close_delta_for_side,0.1240573128402762,467,True
UNDER,home_bullpen_fatigue_rate_l3d,target_close_delta_for_side,0.07721048256317847,467,True
UNDER,bullpen_fatigue_index,target_close_delta_for_side,0.07042056210861604,467,True
UNDER,away_starter_recent_form_index,target_close_delta_for_side,0.06391306317370082,467,True
UNDER,abs_model_minus_open,target_close_delta_for_side,0.059907697246606155,467,True
UNDER,model_minus_open,target_close_delta_for_side,0.059907697246606155,467,True
UNDER,opening_total,target_close_delta_for_side,0.05674229030582345,467,True
UNDER,opening_total_bucket,target_close_delta_for_side,0.05674229030582345,467,True
UNDER,starter_recent_form_diff,target_close_delta_for_side,0.0534367255730379,467,True
UNDER,bullpen_xFIP_diff,target_close_delta_for_side,0.048171853877044965,467,True
UNDER,home_bullpen_ip_proxy_l3d,target_close_delta_for_side,0.048128976342889616,467,True
UNDER,home_wRC_plus_vs_hand,target_close_delta_for_side,0.04456744667505823,467,True
UNDER,park_run_factor,target_close_delta_for_side,0.0398471348232003,467,True
UNDER,bullpen_fatigue_diff,target_close_delta_for_side,0.03827501774861986,467,True
UNDER,team_offense_form_diff_l7,target_close_delta_for_side,0.03747903824877098,467,True
UNDER,model_total,target_close_delta_for_side,0.03575470766443329,467,True
UNDER,away_sp_xFIP,target_close_delta_for_side,0.03483003018063975,467,True
UNDER,away_bullpen_fatigue_rate_l3d,target_close_delta_for_side,0.03140702090595391,467,True
UNDER,away_wRC_plus_vs_hand,target_close_delta_for_side,0.031219980356085548,467,False
UNDER,team_offense_form_diff_l14,target_close_delta_for_side,0.025854587636186695,467,False
UNDER,team_offense_form_diff_l30,target_close_delta_for_side,0.02407617354367583,467,False
UNDER,combined_barrel_rate,target_close_delta_for_side,0.019436764147270885,467,False
UNDER,starter_xFIP_diff,target_close_delta_for_side,0.016449480796642293,467,False
UNDER,away_sp_kbb,target_close_delta_for_side,0.015380930587454796,467,False
UNDER,home_sp_kbb,target_close_delta_for_side,0.013946123627543078,467,False
UNDER,offense_wRC_plus_diff,target_close_delta_for_side,0.011552228969234822,467,False
UNDER,home_sp_xFIP,target_close_delta_for_side,0.009760149646413295,467,False
UNDER,home_starter_recent_form_index,target_close_delta_for_side,0.009304290555295101,467,False
UNDER,home_game_total_l7,target_close_delta_for_side,0.0031171606648268727,467,False
UNDER,away_bullpen_ip_proxy_l3d,target_close_delta_for_side,0.0007814121223551197,467,False
UNDER,starter_kbb_diff,target_close_delta_for_side,0.0005779528153226039,467,False
UNDER,away_game_total_l7,target_close_delta_for_side,4.667557680762209e-05,467,False
UNDER,away_bullpen_ip_proxy_l1d,target_close_delta_for_side,0.0,467,False
UNDER,home_bullpen_ip_proxy_l1d,target_close_delta_for_side,0.0,467,False
UNDER,humidity_pct,target_close_delta_for_side,0.0,0,False
UNDER,temperature_f,target_close_delta_for_side,0.0,0,False
UNDER,weather_run_index,target_close_delta_for_side,0.0,467,False
UNDER,wind_mph,target_close_delta_for_side,0.0,0,False
